SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id;DT_AVISO
0101.93.03.00000154;10000.0000;833.34;92;1;18/11/2011
0115.93.03.00000548;17488.4100;17448.41;238;2;09/09/2013
0123.93.03.00000619;3143.5300;2124.48;310;3;15/12/2009
0123.93.03.00000713;14160.8700;9912.63;326;4;13/07/2011
0124.93.03.00000490;1268.6700;1003.89;460;5;19/04/2011
0124.93.03.00000647;4438.6000;3328.95;507;6;03/08/2012
0124.93.03.00000674;64134.2000;121948.39;526;7;04/06/2013
0125.93.03.00000206;3985.3800;3586.84;584;8;23/02/2011
0125.93.03.00000267;4594.5400;6594.54;611;9;25/02/2013
0126.93.03.00001132;19089.6700;19089.68;790;10;17/10/2012
0126.93.03.00001249;3927.1700;7247.17;861;11;28/11/2013
0129.82.03.00000003;6217.7000;6217.69;920;12;09/06/2014
0129.93.03.00000480;23898.6500;23898.56;944;13;30/06/2010
0129.93.03.00000482;12143.7500;7756.04;946;14;22/03/2011
0129.93.03.00000493;1000.0000;9980.33;950;15;11/04/2011
0129.93.03.00000541;3565.8100;3658.81;954;16;18/10/2009
0129.93.03.00000587;8094.5800;6070.93;967;17;12/07/2011
0129.93.03.00000598;8094.5800;7582.76;973;18;03/10/2011
0129.93.03.00000614;17.9600;12301.82;983;19;01/12/2011
0129.93.03.00000619;5486.3200;5486.31;988;20;14/12/2011
0129.93.03.00000676;2200.0000;4452.99;1021;21;25/02/2013
0129.93.03.00000698;3150.1100;3150.12;1034;22;03/09/2013
0129.93.03.00000700;11405.4600;11405.49;1036;23;03/10/2013
0129.93.03.00000705;8786.3300;8786.34;1041;24;15/05/2013
0129.93.03.00000726;15470.2900;15431.14;1059;25;14/04/2014
0129.93.03.00000733;35306.6200;35306.61;1065;26;26/06/2014
0129.93.03.00000736;1500.0000;1619.58;1068;27;09/07/2014
0129.93.03.00000749;6456.6700;7776.67;1076;28;28/10/2014
0131.93.03.00000891;4023.2100;3262.18;1095;29;02/08/2010
0131.93.03.00000906;6038.0100;6038;1099;30;15/02/2011
0131.93.03.00000938;10009.7600;22019.52;1109;31;21/03/2011
0131.93.03.00000958;4373.2900;6373.29;1113;32;11/04/2011
