SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id;DT_AVISO
0101.93.03.00000154;100.000.000;833.34;92;1;18/11/2011
0101.93.03.00000396;152.211.800;76105.92;114;2;02/10/2013
0115.93.03.00000547;687.780.600;11463.01;237;3;15/10/2013
0123.93.03.00000619;31.435.300;2124.48;310;4;15/12/2009
0123.93.03.00000713;141.608.700;9912.63;326;5;13/07/2011
0123.93.03.00000752;56.767.900;5676.8;348;6;19/06/2012
0123.93.03.00000764;123.499.400;12396.62;354;7;13/09/2012
0123.93.03.00000773;168.166.500;16815.41;358;8;10/12/2012
0123.93.03.00000821;256.354.800;26635.48;391;9;02/10/2013
0123.93.03.00000837;43.372.300;4337.24;405;10;07/02/2014
0123.93.03.00000839;153.387.600;15789.74;407;11;13/03/2014
0124.93.03.00000490;12.686.700;1003.89;460;12;19/04/2011
0124.93.03.00000517;27.656.400;829.92;462;13;06/06/2008
0124.93.03.00000647;44.386.000;3328.95;507;14;03/08/2012
0124.93.03.00000649;23.118.900;2311.49;509;15;24/07/2012
0124.93.03.00000673;23.118.900;2311.88;525;16;08/04/2013
0124.93.03.00000677;24.103.300;2410.3;528;17;17/06/2013
0124.93.03.00000684;102.492.500;10249.8;534;18;12/11/2013
0124.93.03.00000689;24.990.300;2499.04;538;19;27/11/2013
0124.93.03.00000691;161.814.700;16181.45;540;20;31/01/2014
0124.93.03.00000714;44.590.600;4423.06;562;21;07/08/2014
0125.93.03.00000188;47.794.600;4777.95;576;22;21/02/2011
0125.93.03.00000201;156.779.300;15677.94;583;23;19/04/2011
0125.93.03.00000266;96.178.600;9617.62;610;24;09/01/2013
0125.93.03.00000280;63.597.200;6360.71;621;25;06/09/2013
0125.93.03.00000296;58.715.800;5871.57;635;26;13/06/2014
0126.93.03.00000813;62.010.000;6201.02;689;27;22/02/2011
0126.93.03.00000833;2.751.400;2751.45;691;28;24/02/2011
0126.93.03.00000850;117.894.400;11789.45;693;29;17/03/2011
0126.93.03.00000867;79.210.400;5921.04;695;30;21/03/2011
0126.93.03.00000875;52.090.000;5208.98;697;31;29/03/2011
0126.93.03.00000879;110.769.700;10676.96;700;32;30/03/2011
0126.93.03.00000979;30.623.800;5743.85;711;33;05/05/2011
0126.93.03.00001043;65.370.200;15125.82;734;34;25/08/2011
0126.93.03.00001054;24.127.700;412.77;740;35;20/10/2011
0126.93.03.00001066;57.325.100;5417.01;744;36;12/12/2011
0126.93.03.00001077;104.923.500;10792.36;753;37;27/02/2012
0126.93.03.00001080;196.475.100;18327.51;755;38;07/03/2012
0126.93.03.00001088;158.576.800;14857.68;762;39;04/04/2012
0126.93.03.00001091;41.170.500;3313.36;764;40;12/04/2012
0126.93.03.00001100;46.169.600;4616.95;772;41;21/05/2012
0126.93.03.00001130;13.003.300;1202.06;789;42;17/10/2012
0126.93.03.00001152;20.827.100;2011.84;797;43;23/11/2012
