SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id
0101.93.03.00000154;10000.0000;833.34;92;1
0101.93.03.00000388;16000.0000;80000;113;2
0115.93.03.00000536;6342.1200;1057.02;228;3
0115.93.03.00000541;200417.6400;33402.94;232;4
0115.93.03.00000543;64742.7000;10790.45;234;5
0115.93.03.00000547;68778.0600;11463.01;237;6
0115.93.03.00000558;43095.6000;7172.43;244;7
0115.93.03.00000561;38169.6000;6361.6;246;8
0115.93.03.00000563;116396.8200;19399.47;248;9
0115.93.03.00000566;187524.0000;31254;251;10
0115.93.03.00000568;66431.9400;11071.99;253;11
0115.93.03.00000572;16321.6200;2720.27;256;12
0115.93.03.00000578;47187.1200;7864.52;260;13
0122.93.03.00000019;12448.3400;12447;271;14
0123.93.03.00000547;4754.3900;2754.39;297;15
0123.93.03.00000605;7016.4000;7017.32;306;16
0123.93.03.00000614;9177.4900;6118.32;309;17
0123.93.03.00000685;3656.4700;2754.39;319;18
0123.93.03.00000713;14160.8700;9912.63;326;19
0123.93.03.00000718;3408.3800;2556.29;330;20
0123.93.03.00000736;8242.5800;7133.52;340;21
0123.93.03.00000751;3669.5900;3669.6;347;22
0123.93.03.00000758;7254.2400;14508.47;351;23
0123.93.03.00000763;9418.7900;7706.25;353;24
0123.93.03.00000772;11499.5100;11497.36;357;25
0123.93.03.00000787;3668.6200;7196.94;367;26
0123.93.03.00000792;3668.6200;3668.56;371;27
0123.93.03.00000800;3222.9100;3222.9;377;28
0123.93.03.00000820;5423.9800;5423.48;390;29
0123.93.03.00000827;3824.5600;3834.56;396;30
0123.93.03.00000829;4745.6100;4745.66;398;31
0123.93.03.00000837;4337.2300;4337.25;405;32
0123.93.03.00000839;15338.7600;15789.74;407;33
0123.93.03.00000841;1269.9800;3269.98;409;34
0123.93.03.00000846;4438.6000;4636.94;414;35
0123.93.03.00000849;18113.9000;18113.87;417;36
0123.93.03.00000854;13786.8500;13786.47;422;37
0124.93.03.00000447;2079.9200;1039.96;449;38
0124.93.03.00000476;1779.7300;3779.73;455;39
0124.93.03.00000479;385.0000;5852.83;457;40
0124.93.03.00000490;1268.6700;1003.89;460;41
0124.93.03.00000517;2765.6400;829.92;462;42
0124.93.03.00000647;4438.6000;3328.95;507;43
0124.93.03.00000649;2311.8900;2311.49;509;44
0124.93.03.00000664;12833.8400;12583.84;517;45
0124.93.03.00000670;3376.1300;3376.12;523;46
0124.93.03.00000673;2311.8900;2311.88;525;47
0124.93.03.00000677;2410.3300;2410.3;528;48
0124.93.03.00000684;10249.2500;10249.8;534;49
0124.93.03.00000689;2499.0300;2499.04;538;50
0124.93.03.00000691;16181.4700;16181.45;540;51
0124.93.03.00000708;30004.6900;32501.7;556;52
0124.93.03.00000714;4459.0600;4423.06;562;53
0125.93.03.00000188;4779.4600;4777.95;576;54
0125.93.03.00000201;15677.9300;15677.94;583;55
0125.93.03.00000266;9617.8600;9617.62;610;56
0125.93.03.00000280;6359.7200;6360.71;621;57
0125.93.03.00000296;5871.5800;5871.57;635;58
0126.93.03.00000813;6201.0000;6201.02;689;59
0126.93.03.00000833;275.1400;2751.45;691;60
0126.93.03.00000850;11789.4400;11789.45;693;61
0126.93.03.00000867;7921.0400;5921.04;695;62
0126.93.03.00000875;5209.0000;5208.98;697;63
0126.93.03.00000879;11076.9700;10676.96;700;64
0126.93.03.00000979;3062.3800;5743.85;711;65
0126.93.03.00001043;6537.0200;15125.82;734;66
0126.93.03.00001054;2412.7700;412.77;740;67
